sample_id,spot_id,spotify_link,clip_start,psytech,oldschool-hardstyle,bouncy,tekno,warzone,industrial,non-techno-drop
2nswx1ih0QgG0j1q0HlVWK_0002,2nswx1ih0QgG0j1q0HlVWK,https://open.spotify.com/track/2nswx1ih0QgG0j1q0HlVWK?si=68KotCvjRgabjPEUx3eEpA,1:01,0,1,0,0,0,0,0
2nswx1ih0QgG0j1q0HlVWK_0003,2nswx1ih0QgG0j1q0HlVWK,,1:11,0,1,0,0,0,0,0
2nswx1ih0QgG0j1q0HlVWK_0004,2nswx1ih0QgG0j1q0HlVWK,,2:23,0,1,0,0,0,0,0
2nswx1ih0QgG0j1q0HlVWK_0005,2nswx1ih0QgG0j1q0HlVWK,,2:33,0,1,0,0,0,0,0
65AwPDHRx3Ft6QTP0nOgDc_0006,65AwPDHRx3Ft6QTP0nOgDc,https://open.spotify.com/track/65AwPDHRx3Ft6QTP0nOgDc?si=Pa4Aya6RTsO08TfFGFC1Lg,1:35,0,0,0,0,0,1,0
65AwPDHRx3Ft6QTP0nOgDc_0007,65AwPDHRx3Ft6QTP0nOgDc,,1:45,0,0,0,0,0,1,0
65AwPDHRx3Ft6QTP0nOgDc_0008,65AwPDHRx3Ft6QTP0nOgDc,,2:57,0,0,0,0,0,1,0
65AwPDHRx3Ft6QTP0nOgDc_0009,65AwPDHRx3Ft6QTP0nOgDc,,3:08,0,0,0,0,0,1,0
2RAoXIy4lNFkuaTpAcKFSc_0010,2RAoXIy4lNFkuaTpAcKFSc,https://open.spotify.com/track/2RAoXIy4lNFkuaTpAcKFSc?si=8f2L7kU5RKSKxgRFv_dxGw,2:28,0,0,0,0,0,1,0
2RAoXIy4lNFkuaTpAcKFSc_0011,2RAoXIy4lNFkuaTpAcKFSc,,2:48,0,0,0,0,0,1,0
2RAoXIy4lNFkuaTpAcKFSc_0012,2RAoXIy4lNFkuaTpAcKFSc,,3:51,0,0,0,0,0,1,0
7v1JbouuzwrFU5waJXR5cu_0013,7v1JbouuzwrFU5waJXR5cu,https://open.spotify.com/track/7v1JbouuzwrFU5waJXR5cu?si=CfDYQhRtSYS4BeUNKJndGw,1:10,0,0,0,0,0,1,0
7v1JbouuzwrFU5waJXR5cu_0014,7v1JbouuzwrFU5waJXR5cu,,2:50,0,0,0,0,0,1,0
7v1JbouuzwrFU5waJXR5cu_0015,7v1JbouuzwrFU5waJXR5cu,,2:21,0,0,0,0,0,1,0
3rcabUHPdv5Ulw8B6Khkxc_0016,3rcabUHPdv5Ulw8B6Khkxc,https://open.spotify.com/track/3rcabUHPdv5Ulw8B6Khkxc?si=jNIqZR0bSdistbVmPAJe2w,0:57,0,0,0,0,0,1,0
3rcabUHPdv5Ulw8B6Khkxc_0017,3rcabUHPdv5Ulw8B6Khkxc,,1:07,0,0,0,0,0,1,0
3rcabUHPdv5Ulw8B6Khkxc_0018,3rcabUHPdv5Ulw8B6Khkxc,,4:55,0,0,0,0,0,1,0
3rcabUHPdv5Ulw8B6Khkxc_0019,3rcabUHPdv5Ulw8B6Khkxc,,5:06,0,0,0,0,0,1,0
3rcabUHPdv5Ulw8B6Khkxc_0020,3rcabUHPdv5Ulw8B6Khkxc,,5:16,0,0,0,0,0,1,0
1QvrGpNG0GIzMrlRR2aqJ3_0021,1QvrGpNG0GIzMrlRR2aqJ3,https://open.spotify.com/track/1QvrGpNG0GIzMrlRR2aqJ3?si=qE8MuDY_QByElC4hxvyomw,2:20,0,0,0,0,0,1,0
1QvrGpNG0GIzMrlRR2aqJ3_0022,1QvrGpNG0GIzMrlRR2aqJ3,,2:30,0,0,0,0,0,1,0
1QvrGpNG0GIzMrlRR2aqJ3_0023,1QvrGpNG0GIzMrlRR2aqJ3,,4:32,0,0,0,0,0,1,0
6cUEwnYnIysKX3Tk9mrS04_0024,6cUEwnYnIysKX3Tk9mrS04,https://open.spotify.com/track/6cUEwnYnIysKX3Tk9mrS04?si=0oSCbGuXSAyvCoLwsnNw8Q,2:10,0,0,0,0,0,1,0
6cUEwnYnIysKX3Tk9mrS04_0025,6cUEwnYnIysKX3Tk9mrS04,,1:10,0,0,0,0,0,1,0
6cUEwnYnIysKX3Tk9mrS04_0026,6cUEwnYnIysKX3Tk9mrS04,,3:00,0,0,0,0,0,1,0
3GUgaRGv8OrD24yomjh5rT_0027,3GUgaRGv8OrD24yomjh5rT,https://open.spotify.com/track/3GUgaRGv8OrD24yomjh5rT?si=f-MMOW4qR-ygLRKBmU7wwQ,1:59,1,0,0,0,0,0,0
3GUgaRGv8OrD24yomjh5rT_0028,3GUgaRGv8OrD24yomjh5rT,,2:15,1,0,0,0,0,0,0
3GUgaRGv8OrD24yomjh5rT_0029,3GUgaRGv8OrD24yomjh5rT,,3:31,1,0,0,0,0,0,0
3GUgaRGv8OrD24yomjh5rT_0030,3GUgaRGv8OrD24yomjh5rT,,0:55,1,0,0,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0031,0a7I8iZzadBNdLibXkW1fl,https://open.spotify.com/track/0a7I8iZzadBNdLibXkW1fl?si=S2dqONokTpuBuWL-4-DnSQ,0:28,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0032,0a7I8iZzadBNdLibXkW1fl,,0:38,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0033,0a7I8iZzadBNdLibXkW1fl,,0:48,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0034,0a7I8iZzadBNdLibXkW1fl,,1:13,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0035,0a7I8iZzadBNdLibXkW1fl,,1:23,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0036,0a7I8iZzadBNdLibXkW1fl,,1:36,0,0,1,0,0,0,0
0a7I8iZzadBNdLibXkW1fl_0037,0a7I8iZzadBNdLibXkW1fl,,1:46,0,0,1,0,0,0,0
78r3FuvuwNyQSEKR2CGr60_0038,78r3FuvuwNyQSEKR2CGr60,https://open.spotify.com/track/78r3FuvuwNyQSEKR2CGr60?si=1PS9uz8kRVGoLTd7j4bGKQ,1:19,0,0,1,0,0,0,0
78r3FuvuwNyQSEKR2CGr60_0039,78r3FuvuwNyQSEKR2CGr60,,1:29,0,0,1,0,0,0,0
78r3FuvuwNyQSEKR2CGr60_0040,78r3FuvuwNyQSEKR2CGr60,,1:39,0,0,1,0,0,0,0
78r3FuvuwNyQSEKR2CGr60_0041,78r3FuvuwNyQSEKR2CGr60,,2:55,0,0,1,0,0,0,0
77LCMxOSq2eRkvl2iKK61H_0042,77LCMxOSq2eRkvl2iKK61H,https://open.spotify.com/track/77LCMxOSq2eRkvl2iKK61H?si=F8C5Ywj_TpKMSBKc59kYkg,2:19,0,0,1,0,0,0,0
77LCMxOSq2eRkvl2iKK61H_0043,77LCMxOSq2eRkvl2iKK61H,,2:43,0,0,1,0,0,0,0
3krqIueZzgK9OUC0wDpctH_0044,3krqIueZzgK9OUC0wDpctH,https://open.spotify.com/track/3krqIueZzgK9OUC0wDpctH?si=3941fa5dfe004fa7,1:13,1,0,0,0,0,0,0
3krqIueZzgK9OUC0wDpctH_0045,3krqIueZzgK9OUC0wDpctH,,1:23,1,0,0,0,0,0,0
3krqIueZzgK9OUC0wDpctH_0046,3krqIueZzgK9OUC0wDpctH,,1:50,1,0,0,0,0,0,0
3krqIueZzgK9OUC0wDpctH_0047,3krqIueZzgK9OUC0wDpctH,,3:10,1,0,0,0,0,0,0
3krqIueZzgK9OUC0wDpctH_0048,3krqIueZzgK9OUC0wDpctH,,3:20,1,0,0,0,0,0,0
2bwWLGTNn4sCh6G02HEoww_0049,2bwWLGTNn4sCh6G02HEoww,https://open.spotify.com/track/2bwWLGTNn4sCh6G02HEoww?si=3a35340ee1894e83,2:40,0,1,0,0,0,0,0
2bwWLGTNn4sCh6G02HEoww_0050,2bwWLGTNn4sCh6G02HEoww,,2:50,0,1,0,0,0,0,0
2bwWLGTNn4sCh6G02HEoww_0051,2bwWLGTNn4sCh6G02HEoww,,3:02,0,1,0,0,0,0,0
02E8qv06f7gm7q1tontVZh_0052,02E8qv06f7gm7q1tontVZh,https://open.spotify.com/track/02E8qv06f7gm7q1tontVZh?si=a8274d2559fd4849,3:18,1,0,0,0,0,0,0
02E8qv06f7gm7q1tontVZh_0053,02E8qv06f7gm7q1tontVZh,,3:30,1,0,0,0,0,0,0
02E8qv06f7gm7q1tontVZh_0054,02E8qv06f7gm7q1tontVZh,,1:09,1,0,0,0,0,0,0
6ZbhIcQlXVz66bAAvSEuCe_0055,6ZbhIcQlXVz66bAAvSEuCe,https://open.spotify.com/track/6ZbhIcQlXVz66bAAvSEuCe?si=9e9af937a31c44db,1:15,1,0,0,0,0,0,0
6ZbhIcQlXVz66bAAvSEuCe_0056,6ZbhIcQlXVz66bAAvSEuCe,,2:49,1,0,0,0,0,0,0
6ZbhIcQlXVz66bAAvSEuCe_0057,6ZbhIcQlXVz66bAAvSEuCe,,2:59,1,0,0,0,0,0,0
6ZbhIcQlXVz66bAAvSEuCe_0058,6ZbhIcQlXVz66bAAvSEuCe,,3:09,1,0,0,0,0,0,0
2rIlaYmmqbUd2VGWZ4A722_0059,2rIlaYmmqbUd2VGWZ4A722,https://open.spotify.com/track/2rIlaYmmqbUd2VGWZ4A722?si=ad81e116f0984c0e,1:35,0,0,0,0,0,1,0
2rIlaYmmqbUd2VGWZ4A722_0060,2rIlaYmmqbUd2VGWZ4A722,,2:31,0,1,0,0,0,0,0
2rIlaYmmqbUd2VGWZ4A722_0061,2rIlaYmmqbUd2VGWZ4A722,,2:42,0,1,0,0,0,0,0
2rIlaYmmqbUd2VGWZ4A722_0062,2rIlaYmmqbUd2VGWZ4A722,,1:46,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0063,5nTJFYx6zw0FxkkXlCscxB,https://open.spotify.com/track/5nTJFYx6zw0FxkkXlCscxB?si=7219593794c1408c,1:03,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0064,5nTJFYx6zw0FxkkXlCscxB,,1:13,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0065,5nTJFYx6zw0FxkkXlCscxB,,3:37,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0066,5nTJFYx6zw0FxkkXlCscxB,https://open.spotify.com/track/5nTJFYx6zw0FxkkXlCscxB?si=ef6a58598a684e72,3:47,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0067,5nTJFYx6zw0FxkkXlCscxB,,3:25,0,0,0,0,0,1,0
5nTJFYx6zw0FxkkXlCscxB_0068,5nTJFYx6zw0FxkkXlCscxB,,3:52,0,0,0,0,0,1,0
4NmgDZU507TdD0uBgEL6Ae_0069,4NmgDZU507TdD0uBgEL6Ae,https://open.spotify.com/track/4NmgDZU507TdD0uBgEL6Ae?si=dde6535cb03c4da6,1:47,0,0,0,0,0,1,0
4NmgDZU507TdD0uBgEL6Ae_0070,4NmgDZU507TdD0uBgEL6Ae,,1:57,0,0,0,0,0,1,0
7vyVORjqCdfK5ffptN4Gp1_0071,7vyVORjqCdfK5ffptN4Gp1,https://open.spotify.com/track/7vyVORjqCdfK5ffptN4Gp1?si=073fc48a8c694c63,1:16,0,0,0,0,0,1,0
7vyVORjqCdfK5ffptN4Gp1_0072,7vyVORjqCdfK5ffptN4Gp1,,1:26,0,0,0,0,0,1,0
7vyVORjqCdfK5ffptN4Gp1_0073,7vyVORjqCdfK5ffptN4Gp1,,2:14,0,0,0,0,0,1,0
7vyVORjqCdfK5ffptN4Gp1_0074,7vyVORjqCdfK5ffptN4Gp1,,3:53,1,0,0,0,0,0,0
0AUYLWVyyfzXbXwAvIxjgu_0075,0AUYLWVyyfzXbXwAvIxjgu,https://open.spotify.com/track/0AUYLWVyyfzXbXwAvIxjgu?si=6241c4b732c94b8f,0:51,0,0,1,0,0,0,0
0AUYLWVyyfzXbXwAvIxjgu_0076,0AUYLWVyyfzXbXwAvIxjgu,,1:01,0,0,1,0,0,0,0
0AUYLWVyyfzXbXwAvIxjgu_0077,0AUYLWVyyfzXbXwAvIxjgu,,1:11,0,0,1,0,0,0,0
0AUYLWVyyfzXbXwAvIxjgu_0078,0AUYLWVyyfzXbXwAvIxjgu,,1:21,0,0,1,0,0,0,0
0AUYLWVyyfzXbXwAvIxjgu_0079,0AUYLWVyyfzXbXwAvIxjgu,,1:57,0,0,1,0,0,0,0
1EbC2T5p3Gn5KDpbXcvK92_0080,1EbC2T5p3Gn5KDpbXcvK92,https://open.spotify.com/track/1EbC2T5p3Gn5KDpbXcvK92?si=94caf23b689c49c1,0:46,0,0,1,0,0,0,0
1EbC2T5p3Gn5KDpbXcvK92_0081,1EbC2T5p3Gn5KDpbXcvK92,,0:56,0,0,1,0,0,0,0
1EbC2T5p3Gn5KDpbXcvK92_0082,1EbC2T5p3Gn5KDpbXcvK92,,1:43,0,0,1,0,0,0,0
1EbC2T5p3Gn5KDpbXcvK92_0083,1EbC2T5p3Gn5KDpbXcvK92,,1:53,0,0,1,0,0,0,0
